v1,v2,v3,c1,c2,c3,matched_v1,matched_v2,matched_v3,matched_c1,matched_c2,matched_c3,match_vScore, match_cScore,ave score
0.010856,0.0055795,0.003565,0.71812,0.058217,0.016531,0.011118,0.0055266,0.0034303,0.83101,0.11307,0.039685,98.629,91.863,95.246
0.0014645,0.01353,0.005005,0.67319,0.43906,0.21152,0.0030701,0.012189,0.0047406,0.77447,0.53743,0.24104,90.635,91.24,90.937
0.0076519,0.0040364,0.0083117,0.55152,0.20429,0.077107,0.0076778,0.0040391,0.0083158,0.73026,0.36075,0.35308,99.87,78.322,89.096
0.009636,0.0082458,0.0021182,0.8457,0.71866,0.36816,0.0093565,0.0082234,0.0024201,0.61977,0.44225,0.35767,98.166,77.838,88.002
0.017101,0.0013495,0.0015499,0.63242,0.3981,0.22403,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,94.261,88.549,91.405
0.010823,0.0036094,0.0055675,0.71023,0.097388,0.028455,0.010975,0.0034735,0.0056172,0.81744,0.14296,0.094769,99.086,91.859,95.472
0.00014646,0.018517,0.0013361,0.80463,0.71761,0.30199,-0.0014666,0.013827,0.0077209,0.87285,0.68008,0.24307,64.18,94.235,79.207
0.0080036,0.0066452,0.0053512,0.79813,0.40408,0.23728,0.0079497,0.0067998,0.0053155,0.76379,0.38517,0.24626,99.213,97.481,98.347
0.0026564,0.013209,0.0041347,0.82557,0.28985,0.090606,0.0036314,0.01248,0.0039754,0.85778,0.50525,0.14577,94.518,84.965,89.742
0.005485,0.0021704,0.012345,0.66717,0.55578,0.12982,0.0057955,0.002046,0.012232,0.81415,0.70972,0.31308,98.391,83.705,91.048
0.0013848,0.0092094,0.0094057,0.56108,0.2259,0.020605,0.0015501,0.0092659,0.009184,0.6262,0.58019,0.34238,98.751,70.366,84.558
0.014411,0.0019134,0.0036757,0.78315,0.51258,0.33446,0.014594,0.0016913,0.0037152,0.55112,0.33302,0.33036,98.711,81.734,90.222
0.014017,0.0018015,0.0041814,0.54273,0.34379,0.091596,0.014755,0.0015525,0.0037705,0.63184,0.35322,0.034113,96.066,93.31,94.688
0.017885,0.00063506,0.0014799,0.85753,0.28329,0.10336,0.016183,0.0019569,0.0019424,0.58122,0.17935,0.12509,90.284,80.504,85.394
0.011847,0.00738,0.00077303,0.63226,0.60054,0.44364,0.011601,0.0067155,0.0016836,0.54748,0.46852,0.45127,94.897,90.1,92.498
8.92E-05,0.016939,0.0029719,0.84779,0.47682,0.16103,0.0036314,0.01248,0.0039754,0.85778,0.50525,0.14577,74.408,97.907,86.157
