v1,v2,v3,c1,c2,c3,matched_v1,matched_v2,matched_v3,matched_c1,matched_c2,matched_c3,match_vScore, match_cScore,ave score
0.010856,0.0055795,0.003565,0.71812,0.058217,0.016531,0.010866,0.0060087,0.0031255,0.81749,0.10696,0.072745,97.263,92.482,94.873
0.0014645,0.01353,0.005005,0.67319,0.43906,0.21152,0.0030701,0.012189,0.0047406,0.77447,0.53743,0.24104,90.635,91.24,90.937
0.0076519,0.0040364,0.0083117,0.55152,0.20429,0.077107,0.0074884,0.0040776,0.008434,0.74413,0.45136,0.30142,99.078,77.645,88.361
0.009636,0.0082458,0.0021182,0.8457,0.71866,0.36816,0.0093565,0.0082234,0.0024201,0.61977,0.44225,0.35767,98.166,77.838,88.002
0.017101,0.0013495,0.0015499,0.63242,0.3981,0.22403,0.017023,0.0022976,0.00067943,0.53037,0.37622,0.37484,94.261,88.549,91.405
0.010823,0.0036094,0.0055675,0.71023,0.097388,0.028455,0.011328,0.0040084,0.0046634,0.81242,0.13462,0.054776,95.117,92.763,93.94
0.00014646,0.018517,0.0013361,0.80463,0.71761,0.30199,0.0017729,0.01225,0.0059775,0.75635,0.60341,0.22553,64.748,91.194,77.971
0.0080036,0.0066452,0.0053512,0.79813,0.40408,0.23728,0.007407,0.0069751,0.0056179,0.77227,0.42725,0.2495,96.779,97.809,97.294
0.0026564,0.013209,0.0041347,0.82557,0.28985,0.090606,0.0042538,0.012561,0.003185,0.87519,0.44302,0.23084,91.335,87.077,89.206
0.005485,0.0021704,0.012345,0.66717,0.55578,0.12982,0.0073937,0.0028771,0.0097292,0.77857,0.61295,0.24949,85.342,89.694,87.518
0.0013848,0.0092094,0.0094057,0.56108,0.2259,0.020605,0.0015501,0.0092659,0.009184,0.6262,0.58019,0.34238,98.751,70.366,84.558
0.014411,0.0019134,0.0036757,0.78315,0.51258,0.33446,0.014594,0.0016913,0.0037152,0.55112,0.33302,0.33036,98.711,81.734,90.222
0.014017,0.0018015,0.0041814,0.54273,0.34379,0.091596,0.01342,0.0025388,0.0040414,0.61523,0.2764,0.25868,95.744,87.872,91.808
0.017885,0.00063506,0.0014799,0.85753,0.28329,0.10336,0.015542,0.0031606,0.0012975,0.58882,0.18557,0.14619,84.642,81.05,82.846
0.011847,0.00738,0.00077303,0.63226,0.60054,0.44364,0.011601,0.0067155,0.0016836,0.54748,0.46852,0.45127,94.897,90.1,92.498
8.92E-05,0.016939,0.0029719,0.84779,0.47682,0.16103,0.0042538,0.012561,0.003185,0.87519,0.44302,0.23084,73.076,94.894,83.985
0.006656,0.0010318,0.012312,0.72915,0.47919,0.27407,0.0068455,0.0015998,0.011555,0.55059,0.5409,0.47439,95.727,83.302,89.514
0.0080422,0.011177,0.00078083,0.68027,0.6447,0.019421,0.0080128,0.010034,0.001953,0.7812,0.35581,0.18258,92.707,78.58,85.643
0.0088219,0.0078326,0.0033455,0.8515,0.4344,0.26596,0.0090508,0.0075593,0.00339,0.74891,0.34015,0.1935,98.405,90.851,94.628
0.014927,0.0040654,0.0010072,0.66836,0.37702,0.32245,0.014701,0.0039866,0.0013127,0.52459,0.4277,0.41989,98.282,88.968,93.625
0.011783,0.0041761,0.0040407,0.92672,0.63369,0.067385,0.0086568,0.0057681,0.0055751,0.83139,0.59229,0.0048258,83.16,92.669,87.914
0.010039,0.00019092,0.0097699,0.7213,0.65435,0.02923,0.010117,0.0023689,0.0075145,0.83995,0.58547,0.02228,86.031,91.268,88.65
0.018904,0.00019773,0.00089845,0.68495,0.14058,0.013437,0.014581,0.0029512,0.002468,0.63409,0.1117,0.097219,76.373,93.718,85.045
0.0086548,0.003149,0.0081962,0.55043,0.27462,0.065644,0.0097609,0.0029838,0.0072552,0.72698,0.36392,0.25017,93.506,83.909,88.707
0.006992,0.0072619,0.0057461,0.77403,0.32608,0.1257,0.0072268,0.0070944,0.0056789,0.8403,0.41711,0.13184,98.691,92.962,95.827
0.0076133,0.0034773,0.0089094,0.58996,0.075092,0.0011782,0.0080816,0.0029194,0.008999,0.9474,0.27395,0.17622,96.74,73.022,84.881
0.015062,0.0024936,0.0024447,0.86106,0.65535,0.17626,0.015446,0.0023647,0.0021895,0.51227,0.45239,0.45044,97.887,71.234,84.56
0.0038724,0.0010346,0.015093,0.71269,0.50041,0.48906,0.0024917,0.0020245,0.015484,0.65233,0.64687,0.44728,92.293,89.539,90.916
0.011032,0.00039287,0.0085755,0.79107,0.22022,0.1194,0.010819,0.001733,0.0074478,0.86526,0.11245,0.075602,92.163,91.654,91.909
0.0088664,0.0013049,0.0098287,0.68997,0.52771,0.48463,0.0068455,0.0015998,0.011555,0.55059,0.5409,0.47439,88.117,90.332,89.224
